oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
2522,WAT,1,OA,HY,1.2,5355.709,1921,HYDRO,Cadyville,13511,44.695,-73.6219,NY,36,019,NPCC,NYUP,HYDRO,5.5,0,0,36019,19.5726847347696,19.5726847347696
2522,WAT,2,OP,HY,1.2,5355.709,1921,HYDRO,Cadyville,13511,44.695,-73.6219,NY,36,019,NPCC,NYUP,HYDRO,5.5,0,1,36019,19.5726847347696,19.5726847347696
2522,WAT,3,OP,HY,3.1,13835.582,1986,HYDRO,Cadyville,13511,44.695,-73.6219,NY,36,019,NPCC,NYUP,HYDRO,5.5,0,1,36019,19.5726847347696,19.5726847347696
2530,WAT,1,OP,HY,4,13521.6,1948,HYDRO,High Falls - Saranac NY,13511,44.6389,-73.7492,NY,36,019,NPCC,NYUP,HYDRO,15,0,1,36019,16.1590014461016,28.5702538707403
2530,WAT,2,OP,HY,4,13521.6,1949,HYDRO,High Falls - Saranac NY,13511,44.6389,-73.7492,NY,36,019,NPCC,NYUP,HYDRO,15,0,1,36019,16.1590014461016,28.5702538707403
2530,WAT,3,OA,HY,7,23662.8,1956,HYDRO,High Falls - Saranac NY,13511,44.6389,-73.7492,NY,36,019,NPCC,NYUP,HYDRO,15,0,0,36019,16.1590014461016,28.5702538707403
2532,WAT,1,OP,HY,3.2,14926.968,1928,HYDRO,Kent Falls,13511,44.7053,-73.5967,NY,36,019,NPCC,NYUP,HYDRO,12.4,0,1,36019,18.0394344155357,18.0394344155357
2532,WAT,2,OA,HY,3.2,14926.968,1928,HYDRO,Kent Falls,13511,44.7053,-73.5967,NY,36,019,NPCC,NYUP,HYDRO,12.4,0,0,36019,18.0394344155357,18.0394344155357
2532,WAT,3,OP,HY,6,27988.065,1985,HYDRO,Kent Falls,13511,44.7053,-73.5967,NY,36,019,NPCC,NYUP,HYDRO,12.4,0,1,36019,18.0394344155357,18.0394344155357
6486,WAT,1,OP,HY,1,4506,1944,HYDRO,Mill C,13511,44.6967,-73.6122,NY,36,019,NPCC,NYUP,HYDRO,6,0,1,36019,18.888813967666,18.888813967666
6486,WAT,2,OP,HY,1.2,5407.2,1943,HYDRO,Mill C,13511,44.6967,-73.6122,NY,36,019,NPCC,NYUP,HYDRO,6,0,1,36019,18.888813967666,18.888813967666
