oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
2625,NG,1,OP,ST,621,238893,1972,GAS,Bowline Generating Station,14154,41.2044,-73.9689,NY,36,087,NPCC,NYUP,GAS,1992,1,1,36087,2.63011335007054,16.9748343767556
2625,NG,2,OP,ST,621,234225,1974,GAS,Bowline Generating Station,14154,41.2044,-73.9689,NY,36,087,NPCC,NYUP,GAS,1992,1,1,36087,2.63011335007054,16.9748343767556
2625,NG,BOW3,IP,CT,750,,,GAS,Bowline Generating Station,14154,41.2044,-73.9689,NY,36,087,NPCC,NYUP,GAS,1992,1,0,36087,2.63011335007054,16.9748343767556
2628,NG,GEN1,OP,GT,46.5,318,1972,GAS,Hillburn,14154,41.1269,-74.1653,NY,36,087,NPCC,NYUP,GAS,46.5,1,1,36087,1.23770315737356,1.23770315737356
10521,NG,3A,OP,CA,1.5,0.97,1998,GAS,Lederle Laboratories,14154,41.0772,-74.0181,NY,36,087,NPCC,NYUP,GAS,23.4,0,1,36087,2.70708068184046,2.70708068184046
10521,NG,GEN1,OP,CT,8.3,59138.96,1991,GAS,Lederle Laboratories,14154,41.0772,-74.0181,NY,36,087,NPCC,NYUP,GAS,23.4,0,1,36087,2.70708068184046,2.70708068184046
10521,NG,GEN2,OP,CT,8.3,56349.24,1991,GAS,Lederle Laboratories,14154,41.0772,-74.0181,NY,36,087,NPCC,NYUP,GAS,23.4,0,1,36087,2.70708068184046,2.70708068184046
10521,NG,GEN3,OP,CA,2.2,1.94,1990,GAS,Lederle Laboratories,14154,41.0772,-74.0181,NY,36,087,NPCC,NYUP,GAS,23.4,0,1,36087,2.70708068184046,2.70708068184046
10521,NG,TG4,OP,CA,3.1,4937.3,1997,GAS,Lederle Laboratories,14154,41.0772,-74.0181,NY,36,087,NPCC,NYUP,GAS,23.4,0,1,36087,2.70708068184046,2.70708068184046
60004,SUN,INV#1,OP,PV,1,1154,2014,SOLAR,Clarkstown Landfill Solar Facility,14154,41.100409,-73.951593,NY,36,087,NPCC,NYUP,SOLAR,2,0,1,36087,4.91635428453842,7.75671015330546
60004,SUN,INV#2,OP,PV,1,1154,2014,SOLAR,Clarkstown Landfill Solar Facility,14154,41.100409,-73.951593,NY,36,087,NPCC,NYUP,SOLAR,2,0,1,36087,4.91635428453842,7.75671015330546
61551,DFO,EGEN1,SB,IC,1,7.895,1980,OIL,Good Samaritan Hospital,14154,41.111498,-74.135402,NY,36,087,NPCC,NYUP,OIL,1.9,0,1,36087,1.01622343745257,1.01622343745257
61551,DFO,EGEN2,SB,IC,0.7,5.526,2012,OIL,Good Samaritan Hospital,14154,41.111498,-74.135402,NY,36,087,NPCC,NYUP,OIL,1.9,0,1,36087,1.01622343745257,1.01622343745257
61551,NG,EGEN3,SB,IC,0.2,1.579,2012,GAS,Good Samaritan Hospital,14154,41.111498,-74.135402,NY,36,087,NPCC,NYUP,OIL,1.9,0,1,36087,1.01622343745257,1.01622343745257
62619,NG,CAT1,SB,IC,0.8,,1996,GAS,Rockland Bakery Inc.,4226,41.190589,-74.065114,NY,36,087,NPCC,NYCW,GAS,3.9,0,1,36087,5.99686169473155,11.5727539197122
62619,NG,CAT2,SB,IC,0.8,,1996,GAS,Rockland Bakery Inc.,4226,41.190589,-74.065114,NY,36,087,NPCC,NYCW,GAS,3.9,0,1,36087,5.99686169473155,11.5727539197122
62619,NG,CAT3,SB,IC,0.8,,1996,GAS,Rockland Bakery Inc.,4226,41.190589,-74.065114,NY,36,087,NPCC,NYCW,GAS,3.9,0,1,36087,5.99686169473155,11.5727539197122
62619,DFO,CATE4,SB,IC,1.5,,1996,OIL,Rockland Bakery Inc.,4226,41.190589,-74.065114,NY,36,087,NPCC,NYCW,GAS,3.9,0,1,36087,5.99686169473155,11.5727539197122
