oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
52049,WAT,1H,OP,HY,0.7,2751,1987,HYDRO,Clifton Dam 3 Power Station,5416,34.9953,-81.8344,SC,45,083,SERC,SRVC,HYDRO,1.2,0,1,45083,4.95715467214521,20.7737881448782
52049,WAT,2V,OP,HY,0.5,1965,1985,HYDRO,Clifton Dam 3 Power Station,5416,34.9953,-81.8344,SC,45,083,SERC,SRVC,HYDRO,1.2,0,1,45083,4.95715467214521,20.7737881448782
54675,DFO,DI2,OP,IC,2,46.061,2011,OIL,Spartanburg Water System,5416,35.1103,-81.9675,SC,45,083,SERC,SRVC,HYDRO,5.9,0,1,45083,8.50810652701958,8.50810652701958
54675,DFO,DI3,OP,IC,1.3,29.939,2011,OIL,Spartanburg Water System,5416,35.1103,-81.9675,SC,45,083,SERC,SRVC,HYDRO,5.9,0,1,45083,8.50810652701958,8.50810652701958
54675,WAT,HG1,SB,HY,0.5,1198.5,1926,HYDRO,Spartanburg Water System,5416,35.1103,-81.9675,SC,45,083,SERC,SRVC,HYDRO,5.9,0,1,45083,8.50810652701958,8.50810652701958
54675,WAT,HG2,SB,HY,0.5,1198.5,1926,HYDRO,Spartanburg Water System,5416,35.1103,-81.9675,SC,45,083,SERC,SRVC,HYDRO,5.9,0,1,45083,8.50810652701958,8.50810652701958
54675,DFO,DI1,RE,IC,1.6,,1998,OIL,Spartanburg Water System,5416,35.1103,-81.9675,SC,45,083,SERC,SRVC,HYDRO,5.9,0,0,45083,8.50810652701958,8.50810652701958
57030,DFO,DI 1,OP,IC,1.8,-36.333,2006,OIL,Pacolet Diesel Generation Facility,11118,34.8986,-81.7397,SC,45,083,SERC,SRVC,OIL,5.4,0,1,45083,0.960338591517445,31.1440513208752
57030,DFO,DI 2,OP,IC,1.8,-36.333,2006,OIL,Pacolet Diesel Generation Facility,11118,34.8986,-81.7397,SC,45,083,SERC,SRVC,OIL,5.4,0,1,45083,0.960338591517445,31.1440513208752
57030,DFO,DI 3,OP,IC,1.8,-36.333,2006,OIL,Pacolet Diesel Generation Facility,11118,34.8986,-81.7397,SC,45,083,SERC,SRVC,OIL,5.4,0,1,45083,0.960338591517445,31.1440513208752
57885,LFG,LFG1,OP,IC,1.6,9700,2011,BIOMASS,Wellford Renewable Energy Plant,5416,35.001194,-82.130278,SC,45,083,SERC,SRVC,BIOMASS,1.6,0,1,45083,8.18392767908025,21.1818030256457
58173,LFG,GT601,OP,GT,5.5,25211.5,2009,BIOMASS,BMW Manufacturing Co,5416,34.894167,-82.178333,SC,45,083,SERC,SRVC,BIOMASS,11,0,1,45083,4.15554398528539,33.2266866737537
58173,LFG,GT602,OP,GT,5.5,25211.5,2009,BIOMASS,BMW Manufacturing Co,5416,34.894167,-82.178333,SC,45,083,SERC,SRVC,BIOMASS,11,0,1,45083,4.15554398528539,33.2266866737537
58257,WAT,UP1,OP,HY,1.1,4882,2013,HYDRO,Upper Pacolet Hydro,11118,34.921389,-81.745556,SC,45,083,SERC,SRVC,HYDRO,1.1,0,1,45083,1.00235604672522,28.6385688731102
61960,SUN,GEN1,OP,PV,2,0,2018,SOLAR,Atood II,5416,35.030303,-81.808469,SC,45,083,SERC,SRVC,SOLAR,2,0,1,45083,0.615467349091702,16.7793259532048
