oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
2546,WAT,1,OP,HY,2,11174.333,1920,HYDRO,Black River,13573,44.000122,-75.813151,NY,36,045,NPCC,NYUP,HYDRO,6,0,1,36045,13.0427294242907,38.6905441112385
2546,WAT,2,OP,HY,2,11174.333,1920,HYDRO,Black River,13573,44.000122,-75.813151,NY,36,045,NPCC,NYUP,HYDRO,6,0,1,36045,13.0427294242907,38.6905441112385
2546,WAT,3,OP,HY,2,11174.333,1920,HYDRO,Black River,13573,44.000122,-75.813151,NY,36,045,NPCC,NYUP,HYDRO,6,0,1,36045,13.0427294242907,38.6905441112385
2552,WAT,1,OP,HY,4,16933,1925,HYDRO,Deferiet,13573,44.0381,-75.6806,NY,36,045,NPCC,NYUP,HYDRO,12,0,1,36045,9.64270920194114,40.6881498931202
2552,WAT,2,OP,HY,4,16933,1925,HYDRO,Deferiet,13573,44.0381,-75.6806,NY,36,045,NPCC,NYUP,HYDRO,12,0,1,36045,9.64270920194114,40.6881498931202
2552,WAT,3,OP,HY,4,16933,1925,HYDRO,Deferiet,13573,44.0381,-75.6806,NY,36,045,NPCC,NYUP,HYDRO,12,0,1,36045,9.64270920194114,40.6881498931202
2572,WAT,1,OP,HY,1.8,6985.667,1924,HYDRO,Herrings,13573,44.0217,-75.6511,NY,36,045,NPCC,NYUP,HYDRO,5.4,0,1,36045,6.76180184390812,43.4943701580918
2572,WAT,2,OP,HY,1.8,6985.667,1924,HYDRO,Herrings,13573,44.0217,-75.6511,NY,36,045,NPCC,NYUP,HYDRO,5.4,0,1,36045,6.76180184390812,43.4943701580918
2572,WAT,3,OP,HY,1.8,6985.667,1924,HYDRO,Herrings,13573,44.0217,-75.6511,NY,36,045,NPCC,NYUP,HYDRO,5.4,0,1,36045,6.76180184390812,43.4943701580918
2581,WAT,1,OP,HY,2,6971.667,1921,HYDRO,Kamargo,13573,44.0117,-75.7967,NY,36,045,NPCC,NYUP,HYDRO,6,0,1,36045,13.3916466892948,38.8036037569053
2581,WAT,2,OP,HY,2,6971.667,1921,HYDRO,Kamargo,13573,44.0117,-75.7967,NY,36,045,NPCC,NYUP,HYDRO,6,0,1,36045,13.3916466892948,38.8036037569053
2581,WAT,3,OP,HY,2,6971.667,1921,HYDRO,Kamargo,13573,44.0117,-75.7967,NY,36,045,NPCC,NYUP,HYDRO,6,0,1,36045,13.3916466892948,38.8036037569053
2608,WAT,1,OP,HY,1,3789.5,1925,HYDRO,Sewalls,13573,43.9775,-75.8942,NY,36,045,NPCC,NYUP,HYDRO,2,0,1,36045,11.2450150080942,36.0373617451722
2608,WAT,2,OP,HY,1,3789.5,1925,HYDRO,Sewalls,13573,43.9775,-75.8942,NY,36,045,NPCC,NYUP,HYDRO,2,0,1,36045,11.2450150080942,36.0373617451722
2700,WAT,1,OP,HY,2.7,6628,1924,HYDRO,Watertown,13573,43.975801,-75.874669,NY,36,045,NPCC,NYUP,HYDRO,8.1,0,1,36045,10.5603947643889,37.2259481733433
2700,WAT,2,OP,HY,2.7,6628,1924,HYDRO,Watertown,13573,43.975801,-75.874669,NY,36,045,NPCC,NYUP,HYDRO,8.1,0,1,36045,10.5603947643889,37.2259481733433
2700,WAT,3,OP,HY,2.7,6628,1924,HYDRO,Watertown,13573,43.975801,-75.874669,NY,36,045,NPCC,NYUP,HYDRO,8.1,0,1,36045,10.5603947643889,37.2259481733433
10197,WAT,GEN1,OP,HY,3.6,10197,1986,HYDRO,Philadlephia,13573,44.158611,-75.708778,NY,36,045,NPCC,NYUP,HYDRO,3.6,0,1,36045,14.422273415523,28.4095040487015
10464,WDS,GEN1,OP,ST,55.5,352434,1989,BIOMASS,"Black River Generation, LLC",13573,44.03647,-75.77204,NY,36,045,NPCC,NYUP,BIOMASS,55.5,1,1,36045,14.2246756526286,37.5091571210321
10531,WAT,1,OP,HY,4,17449.333,1931,HYDRO,Beebee Island Hydro Plant,13573,43.9767,-75.9072,NY,36,045,NPCC,NYUP,HYDRO,9,0,1,36045,11.6055257498242,35.4274500366301
10531,WAT,2,OP,HY,5,21811.667,1931,HYDRO,Beebee Island Hydro Plant,13573,43.9767,-75.9072,NY,36,045,NPCC,NYUP,HYDRO,9,0,1,36045,11.6055257498242,35.4274500366301
10538,WAT,GEN1,OP,HY,0.5,2242.024,1931,HYDRO,Dexter Plant,13573,44.003984,-76.041277,NY,36,045,NPCC,NYUP,HYDRO,4.2,0,1,36045,20.9086127454904,26.8787513138675
10538,WAT,GEN2,OP,HY,0.5,2242.024,1931,HYDRO,Dexter Plant,13573,44.003984,-76.041277,NY,36,045,NPCC,NYUP,HYDRO,4.2,0,1,36045,20.9086127454904,26.8787513138675
10538,WAT,GEN3,OP,HY,0.2,896.81,1958,HYDRO,Dexter Plant,13573,44.003984,-76.041277,NY,36,045,NPCC,NYUP,HYDRO,4.2,0,1,36045,20.9086127454904,26.8787513138675
10538,WAT,GEN4,OP,HY,0.2,896.81,1986,HYDRO,Dexter Plant,13573,44.003984,-76.041277,NY,36,045,NPCC,NYUP,HYDRO,4.2,0,1,36045,20.9086127454904,26.8787513138675
10538,WAT,GEN5,OP,HY,0.2,896.81,1986,HYDRO,Dexter Plant,13573,44.003984,-76.041277,NY,36,045,NPCC,NYUP,HYDRO,4.2,0,1,36045,20.9086127454904,26.8787513138675
10538,WAT,GEN6,OP,HY,1.3,5829.262,1988,HYDRO,Dexter Plant,13573,44.003984,-76.041277,NY,36,045,NPCC,NYUP,HYDRO,4.2,0,1,36045,20.9086127454904,26.8787513138675
10538,WAT,GEN7,OP,HY,1.3,5829.262,1988,HYDRO,Dexter Plant,13573,44.003984,-76.041277,NY,36,045,NPCC,NYUP,HYDRO,4.2,0,1,36045,20.9086127454904,26.8787513138675
10539,WAT,GEN1,OP,HY,1,4488.462,1929,HYDRO,Theresa Plant,13573,44.21742,-75.795173,NY,36,045,NPCC,NYUP,HYDRO,1.3,0,1,36045,14.6073145088539,19.0853958307153
10539,WAT,GEN2,OP,HY,0.3,1346.538,1927,HYDRO,Theresa Plant,13573,44.21742,-75.795173,NY,36,045,NPCC,NYUP,HYDRO,1.3,0,1,36045,14.6073145088539,19.0853958307153
10540,WAT,GEN1,OP,HY,0.4,1701.667,1914,HYDRO,Diamond Island Plant,13573,43.978626,-75.886102,NY,36,045,NPCC,NYUP,HYDRO,1.2,0,1,36045,11.1305303002278,36.3754861758307
10540,WAT,GEN2,OP,HY,0.4,1701.667,1914,HYDRO,Diamond Island Plant,13573,43.978626,-75.886102,NY,36,045,NPCC,NYUP,HYDRO,1.2,0,1,36045,11.1305303002278,36.3754861758307
10540,WAT,GEN3,OP,HY,0.4,1701.667,1914,HYDRO,Diamond Island Plant,13573,43.978626,-75.886102,NY,36,045,NPCC,NYUP,HYDRO,1.2,0,1,36045,11.1305303002278,36.3754861758307
