oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
710,NG,3A,OP,GT,41.8,-52,1971,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,NG,3B,OP,GT,41.8,-52,1971,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,NG,4,OP,CA,375,2134489,2011,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,NG,5,OP,CA,375,2163328,2012,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,NG,5ACT,OP,CT,232.5,2072668,2012,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,NG,5BCT,OP,CT,232.5,1878421,2012,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,NG,6,OP,CA,375,1599830,2012,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,NG,6ACT,OP,CT,232.5,1532869,2012,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,NG,6BCT,OP,CT,232.5,1437293,2012,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,NG,CT4A,OP,CT,232.5,1967917,2011,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,NG,CT4B,OP,CT,232.5,2012342,2011,GAS,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,1,13067,0.153949542062362,81.9115821469669
710,BIT,1,RE,ST,299.2,,1963,COAL,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,0,13067,0.153949542062362,81.9115821469669
710,BIT,2,RE,ST,299.2,,1964,COAL,Jack McDonough,7140,33.8239,-84.4758,GA,13,067,SERC,SRSO,GAS,3202,1,0,13067,0.153949542062362,81.9115821469669
