oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
204,NUC,1,OP,ST,1138.3,8346686,1987,NUCLEAR,Clinton Power Station,56697,40.1719,-88.8339,IL,17,039,SERC,SRMW,NUCLEAR,1138.3,1,1,17039,11.0811281380531,110.940417614891
941,NG,1,OP,IC,1.5,1.726,1967,GAS,Farmer City,6192,40.24611,-88.638761,IL,17,039,SERC,SRMW,GAS,11.3,0,1,17039,2.55235739281216,94.3026570275951
941,DFO,2,OP,IC,1.1,1.265,1963,OIL,Farmer City,6192,40.24611,-88.638761,IL,17,039,SERC,SRMW,GAS,11.3,0,1,17039,2.55235739281216,94.3026570275951
941,DFO,4,OP,IC,0.8,0.92,1951,OIL,Farmer City,6192,40.24611,-88.638761,IL,17,039,SERC,SRMW,GAS,11.3,0,1,17039,2.55235739281216,94.3026570275951
941,NG,5,OP,IC,3.5,4.027,1974,GAS,Farmer City,6192,40.24611,-88.638761,IL,17,039,SERC,SRMW,GAS,11.3,0,1,17039,2.55235739281216,94.3026570275951
941,DFO,6,OP,IC,2.2,2.531,2012,OIL,Farmer City,6192,40.24611,-88.638761,IL,17,039,SERC,SRMW,GAS,11.3,0,1,17039,2.55235739281216,94.3026570275951
941,DFO,7,OP,IC,2.2,2.531,2012,OIL,Farmer City,6192,40.24611,-88.638761,IL,17,039,SERC,SRMW,GAS,11.3,0,1,17039,2.55235739281216,94.3026570275951
59635,LFG,1,OP,IC,1.6,10145,2006,BIOMASS,Clinton LFGTE,56697,40.120833,-88.961111,IL,17,039,SERC,SRMW,BIOMASS,3.2,0,1,17039,7.64793308192103,121.815880461451
59635,LFG,2,OP,IC,1.6,10145,2006,BIOMASS,Clinton LFGTE,56697,40.120833,-88.961111,IL,17,039,SERC,SRMW,BIOMASS,3.2,0,1,17039,7.64793308192103,121.815880461451
