oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
790,WAT,1,OP,HY,23.4,144613,1988,HYDRO,Gem State,9187,43.420221,-112.101852,ID,16,019,WECC,NWPP,HYDRO,23.4,0,1,16019,0.115092394041759,85.5518454182147
841,WAT,3,OP,HY,8,46503,1982,HYDRO,City Power Plant,9187,43.491398,-112.04541,ID,16,019,WECC,NWPP,HYDRO,8,0,1,16019,8.7308768500519,80.8533697214627
843,WAT,1,OP,HY,3,12035,1940,HYDRO,Lower No 2,9187,43.468398,-112.062602,ID,16,019,WECC,NWPP,HYDRO,3,0,1,16019,5.83248595785196,82.2874315441166
844,WAT,4,OP,HY,8,52418,1982,HYDRO,Upper Power Plant,9187,43.552695,-112.050953,ID,16,019,WECC,NWPP,HYDRO,8,0,1,16019,8.16905986707185,81.2148457578767
850,WAT,1,OP,HY,44.1,206802,1957,HYDRO,Palisades Dam,1738,43.334849,-111.205752,ID,16,019,WECC,NWPP,HYDRO,176.4,1,1,16019,13.0325729487569,13.0325729487569
850,WAT,2,OP,HY,44.1,206802,1957,HYDRO,Palisades Dam,1738,43.334849,-111.205752,ID,16,019,WECC,NWPP,HYDRO,176.4,1,1,16019,13.0325729487569,13.0325729487569
850,WAT,3,OP,HY,44.1,206802,1957,HYDRO,Palisades Dam,1738,43.334849,-111.205752,ID,16,019,WECC,NWPP,HYDRO,176.4,1,1,16019,13.0325729487569,13.0325729487569
850,WAT,4,OP,HY,44.1,206802,1958,HYDRO,Palisades Dam,1738,43.334849,-111.205752,ID,16,019,WECC,NWPP,HYDRO,176.4,1,1,16019,13.0325729487569,13.0325729487569
7012,WAT,2,OP,HY,8,42339,1982,HYDRO,Lower No 1,9187,43.468679,-112.062499,ID,16,019,WECC,NWPP,HYDRO,8,0,1,16019,5.8629566302609,82.2787699013844
56301,WND,1,OP,WT,64.5,171358,2006,WIND,Wolverine Creek,14354,43.4195,-111.8294,ID,16,019,WECC,NWPP,WIND,64.5,1,1,16019,5.93155207377734,63.5010083290751
57211,WND,1,OP,WT,124.5,373350,2010,WIND,Goshen Phase II,14711,43.467057,-111.836381,ID,16,019,WECC,NWPP,WIND,124.5,1,1,16019,11.2105976555901,63.9906961717752
57890,WND,1,OP,WT,57.6,159639,2012,WIND,"Horse Butte Wind I, LLC",1738,43.386389,-111.726389,ID,16,019,WECC,NWPP,WIND,57.6,1,1,16019,8.105822895277,55.2084330314554
58106,WND,MCPC,OP,WT,119.7,244522,2012,WIND,Meadow Creek Project Company,14354,43.524429,-111.803921,ID,16,019,WECC,NWPP,WIND,119.7,1,1,16019,11.3778055319694,61.2905507269321
