oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
56100,DFO,1,OP,IC,2.2,20.25,2004,OIL,St. Charles Power Plant,56526,43.9742,-92.0597,MN,27,169,MRO,MROW,OIL,8.8,0,1,27169,1.54153567854908,28.678486506463
56100,DFO,2,OP,IC,2.2,20.25,2004,OIL,St. Charles Power Plant,56526,43.9742,-92.0597,MN,27,169,MRO,MROW,OIL,8.8,0,1,27169,1.54153567854908,28.678486506463
56100,DFO,3,OP,IC,2.2,20.25,2004,OIL,St. Charles Power Plant,56526,43.9742,-92.0597,MN,27,169,MRO,MROW,OIL,8.8,0,1,27169,1.54153567854908,28.678486506463
56100,DFO,4,OP,IC,2.2,20.25,2004,OIL,St. Charles Power Plant,56526,43.9742,-92.0597,MN,27,169,MRO,MROW,OIL,8.8,0,1,27169,1.54153567854908,28.678486506463
57813,WND,TURB1,OP,WT,2.5,3229,2011,WIND,GL Wind,56161,43.991667,-91.877777,MN,27,169,MRO,MROW,WIND,5,0,1,27169,16.0784915803471,18.4818285747943
57813,WND,TURB2,OP,WT,2.5,3229,2011,WIND,GL Wind,56161,43.991667,-91.877777,MN,27,169,MRO,MROW,WIND,5,0,1,27169,16.0784915803471,18.4818285747943
