oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
8048,NG,1,OP,ST,556.2,1508323,1974,GAS,Anclote,6455,28.184444,-82.788611,FL,12,101,FRCC,FRCC,GAS,1112.4,1,1,12101,1.33469649190494,8.82931851488563
8048,NG,2,OP,ST,556.2,1206159,1978,GAS,Anclote,6455,28.184444,-82.788611,FL,12,101,FRCC,FRCC,GAS,1112.4,1,1,12101,1.33469649190494,8.82931851488563
50666,MSW,GEN1,OP,ST,31.2,188631,1991,BIOMASS,Pasco Cnty Solid Waste Resource Recovery,6455,28.3681,-82.5583,FL,12,101,FRCC,FRCC,BIOMASS,31.2,1,1,12101,7.28521138333444,20.4769824052243
54424,DFO,EDG1,SB,IC,1.2,0,1993,OIL,"Quantum Pasco Power, LP",18454,28.374622,-82.188887,FL,12,101,FRCC,FRCC,GAS,143.7,0,1,12101,9.19184450735496,55.2238415199738
54424,DFO,EDG2,SB,IC,1.2,0,1993,OIL,"Quantum Pasco Power, LP",18454,28.374622,-82.188887,FL,12,101,FRCC,FRCC,GAS,143.7,0,1,12101,9.19184450735496,55.2238415199738
54424,NG,GT1,OP,CT,57.4,35042,1993,GAS,"Quantum Pasco Power, LP",18454,28.374622,-82.188887,FL,12,101,FRCC,FRCC,GAS,143.7,1,1,12101,9.19184450735496,55.2238415199738
54424,NG,GT2,OP,CT,57.4,35028,1993,GAS,"Quantum Pasco Power, LP",18454,28.374622,-82.188887,FL,12,101,FRCC,FRCC,GAS,143.7,1,1,12101,9.19184450735496,55.2238415199738
54424,NG,ST1,OP,CA,26.5,16703,1993,GAS,"Quantum Pasco Power, LP",18454,28.374622,-82.188887,FL,12,101,FRCC,FRCC,GAS,143.7,1,1,12101,9.19184450735496,55.2238415199738
55414,NG,G101,OP,GT,180.4,227148.667,2002,GAS,Shady Hills,6455,28.3665,-82.558611,FL,12,101,FRCC,FRCC,GAS,1059.2,1,1,12101,7.46251309593706,20.5114643315597
55414,NG,G201,OP,GT,180.4,227148.667,2002,GAS,Shady Hills,6455,28.3665,-82.558611,FL,12,101,FRCC,FRCC,GAS,1059.2,1,1,12101,7.46251309593706,20.5114643315597
55414,NG,G301,OP,GT,180.4,227148.667,2002,GAS,Shady Hills,6455,28.3665,-82.558611,FL,12,101,FRCC,FRCC,GAS,1059.2,1,1,12101,7.46251309593706,20.5114643315597
55414,NG,G401,CN,GT,259,,,GAS,Shady Hills,6455,28.3665,-82.558611,FL,12,101,FRCC,FRCC,GAS,1059.2,1,0,12101,7.46251309593706,20.5114643315597
55414,NG,G501,CN,GT,259,,,GAS,Shady Hills,6455,28.3665,-82.558611,FL,12,101,FRCC,FRCC,GAS,1059.2,1,0,12101,7.46251309593706,20.5114643315597
