oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
50326,NG,AT1,OP,CT,4,1800,1985,GAS,Nalco,13208,41.800909,-88.197156,IL,17,043,RFC,RFCW,GAS,4.7,0,1,17043,5.4386187449761,56.156999390104
50326,NG,DPOX,OP,CA,0.7,0,1985,GAS,Nalco,13208,41.800909,-88.197156,IL,17,043,RFC,RFCW,GAS,4.7,0,1,17043,5.4386187449761,56.156999390104
50722,NG,GEN1,OP,GT,9.5,57365,1990,GAS,BP Naperville Cogeneration Facility,13208,41.8108,-88.1486,IL,17,043,RFC,RFCW,GAS,9.5,0,1,17043,9.38196871850005,52.2391587758094
54987,NG,FM01,SB,IC,1.5,0,1996,GAS,Woodridge Greene Valley Treatment Plant,4110,41.74,-88.06,IL,17,043,RFC,RFCW,GAS,1.5,0,1,17043,1.29927688075892,44.5779028144563
55014,LFG,GEN1,OP,GT,3.3,18006.5,1996,BIOMASS,Greene Valley Gas Recovery,4110,41.73379,-88.084908,IL,17,043,RFC,RFCW,BIOMASS,9.9,0,1,17043,0.66578245794997,46.6469185291276
55014,LFG,GEN2,OP,GT,3.3,18006.5,1996,BIOMASS,Greene Valley Gas Recovery,4110,41.73379,-88.084908,IL,17,043,RFC,RFCW,BIOMASS,9.9,0,1,17043,0.66578245794997,46.6469185291276
55014,LFG,GEN3,RE,GT,3.3,,1998,BIOMASS,Greene Valley Gas Recovery,4110,41.73379,-88.084908,IL,17,043,RFC,RFCW,BIOMASS,9.9,0,0,17043,0.66578245794997,46.6469185291276
55279,NG,CTG1,OP,GT,213,113236.981,2002,GAS,Aurora,4110,41.8151,-88.2265,IL,17,043,RFC,RFCW,GAS,1275,1,1,17043,3.02041637151949,58.7251678666955
55279,NG,CTG10,OP,GT,71,37745.66,2001,GAS,Aurora,4110,41.8151,-88.2265,IL,17,043,RFC,RFCW,GAS,1275,1,1,17043,3.02041637151949,58.7251678666955
55279,NG,CTG2,OP,GT,213,113236.981,2001,GAS,Aurora,4110,41.8151,-88.2265,IL,17,043,RFC,RFCW,GAS,1275,1,1,17043,3.02041637151949,58.7251678666955
55279,NG,CTG3,OP,GT,210,111642.094,2001,GAS,Aurora,4110,41.8151,-88.2265,IL,17,043,RFC,RFCW,GAS,1275,1,1,17043,3.02041637151949,58.7251678666955
55279,NG,CTG4,OP,GT,213,113236.981,2001,GAS,Aurora,4110,41.8151,-88.2265,IL,17,043,RFC,RFCW,GAS,1275,1,1,17043,3.02041637151949,58.7251678666955
55279,NG,CTG5,OP,GT,71,37745.66,2001,GAS,Aurora,4110,41.8151,-88.2265,IL,17,043,RFC,RFCW,GAS,1275,1,1,17043,3.02041637151949,58.7251678666955
55279,NG,CTG6,OP,GT,71,37745.66,2001,GAS,Aurora,4110,41.8151,-88.2265,IL,17,043,RFC,RFCW,GAS,1275,1,1,17043,3.02041637151949,58.7251678666955
55279,NG,CTG7,OP,GT,71,37745.66,2001,GAS,Aurora,4110,41.8151,-88.2265,IL,17,043,RFC,RFCW,GAS,1275,1,1,17043,3.02041637151949,58.7251678666955
55279,NG,CTG8,OP,GT,71,37745.66,2001,GAS,Aurora,4110,41.8151,-88.2265,IL,17,043,RFC,RFCW,GAS,1275,1,1,17043,3.02041637151949,58.7251678666955
55279,NG,CTG9,OP,GT,71,37745.66,2001,GAS,Aurora,4110,41.8151,-88.2265,IL,17,043,RFC,RFCW,GAS,1275,1,1,17043,3.02041637151949,58.7251678666955
59959,MWH,WCBS,OP,BA,19.8,-4142,2015,OTHER,Elwood Energy Storage Center,4110,41.896873,-88.222718,IL,17,043,RFC,RFCW,OTHF,19.8,0,1,17043,3.29480129582824,60.0121551089773
60742,NG,CHP,OP,GT,6.3,7606,2016,GAS,Argonne National Laboratory CHP,4110,41.716534,-87.970608,IL,17,043,RFC,RFCW,GAS,6.3,0,1,17043,2.79487442771888,37.125885285689
