oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
38,WAT,1,OP,HY,33.7,95835,1970,HYDRO,Millers Ferry,195,32.100881,-87.399767,AL,01,131,SERC,SRSO,HYDRO,101.1,1,1,01131,11.0995935313174,98.2364521854377
38,WAT,2,OP,HY,33.7,95835,1970,HYDRO,Millers Ferry,195,32.100881,-87.399767,AL,01,131,SERC,SRSO,HYDRO,101.1,1,1,01131,11.0995935313174,98.2364521854377
38,WAT,3,OP,HY,33.7,95835,1970,HYDRO,Millers Ferry,195,32.100881,-87.399767,AL,01,131,SERC,SRSO,HYDRO,101.1,1,1,01131,11.0995935313174,98.2364521854377
54752,WDS,NO1,OP,ST,40,251254,1968,BIOMASS,International Paper Pine Hill Mill,195,31.9698,-87.4806,AL,01,131,SERC,SRSO,BIOMASS,77.4,1,1,01131,13.9999657355735,92.3388475324859
54752,BLQ,NO2,OP,ST,37.4,224124,1982,BIOMASS,International Paper Pine Hill Mill,195,31.9698,-87.4806,AL,01,131,SERC,SRSO,BIOMASS,77.4,1,1,01131,13.9999657355735,92.3388475324859
