oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
2483,WAT,H1,OP,HY,25,7279,1953,HYDRO,Neversink,3249,41.8194,-74.6358,NY,36,105,NPCC,NYUP,HYDRO,25,1,1,36105,8.86133661196959,35.4880292139512
2627,WAT,GRHM,OP,HY,18,95279,1956,HYDRO,Grahamsville,3249,41.8592,-74.5106,NY,36,105,NPCC,NYUP,HYDRO,18,0,1,36105,3.0758437098164,46.6216144191891
2630,WAT,GEN1,OP,HY,4,8299.726,1923,HYDRO,Mongaup,14154,41.537722,-74.771383,NY,36,105,NPCC,NYUP,HYDRO,7.3,0,1,36105,5.13308832419114,10.957837751006
2630,WAT,GEN2,OP,HY,1.1,2282.425,1923,HYDRO,Mongaup,14154,41.537722,-74.771383,NY,36,105,NPCC,NYUP,HYDRO,7.3,0,1,36105,5.13308832419114,10.957837751006
2630,WAT,GEN3,OP,HY,1.1,2282.425,1923,HYDRO,Mongaup,14154,41.537722,-74.771383,NY,36,105,NPCC,NYUP,HYDRO,7.3,0,1,36105,5.13308832419114,10.957837751006
2630,WAT,GEN4,OP,HY,1.1,2282.425,1923,HYDRO,Mongaup,14154,41.537722,-74.771383,NY,36,105,NPCC,NYUP,HYDRO,7.3,0,1,36105,5.13308832419114,10.957837751006
2631,WAT,RIO,OP,HY,10,39173.148,1927,HYDRO,Rio,14154,41.4625,-74.7578,NY,36,105,NPCC,NYUP,HYDRO,10.8,0,1,36105,0.135567866237554,3.72521349525581
2631,WAT,RIO2,OP,HY,0.8,3133.852,2013,HYDRO,Rio,14154,41.4625,-74.7578,NY,36,105,NPCC,NYUP,HYDRO,10.8,0,1,36105,0.135567866237554,3.72521349525581
2634,WAT,SWI2,OP,HY,6.8,20819,1939,HYDRO,Swinging Bridge 2,14154,41.5717,-74.7828,NY,36,105,NPCC,NYUP,HYDRO,8,0,1,36105,9.01872862230065,14.4539475149955
2634,WAT,SWI3,L,HY,1.2,,2019,HYDRO,Swinging Bridge 2,14154,41.5717,-74.7828,NY,36,105,NPCC,NYUP,HYDRO,8,0,0,36105,9.01872862230065,14.4539475149955
51033,WAT,GEN1,OP,HY,7.5,11275,1988,HYDRO,West Delaware Tunnel Plant,3249,41.859601,-74.510259,NY,36,105,NPCC,NYUP,HYDRO,7.5,0,1,36105,3.07545238462602,46.6601987236417
60817,SUN,PV1,OP,PV,2,1049,2017,SOLAR,Sullivan County - Adult Care Solar,13511,41.7966,-74.708077,NY,36,105,NPCC,NYUP,SOLAR,2,0,1,36105,12.4367891824787,29.1160188538848
62034,SUN,7,OP,PV,2,2650,2018,SOLAR,Baer Road CSG,13511,41.797,-75.068,NY,36,105,NPCC,NYUP,SOLAR,2,0,1,36105,0.70954643289219,0.70954643289219
