oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
3595,WAT,1,OP,HY,18.3,13369.333,1938,HYDRO,Buchanan Dam (TX),11269,30.7507,-98.4176,TX,48,299,TRE,ERCT,HYDRO,54.9,0,1,48299,0.0725812760177541,283.676561823315
3595,WAT,2,OP,HY,18.3,13369.333,1938,HYDRO,Buchanan Dam (TX),11269,30.7507,-98.4176,TX,48,299,TRE,ERCT,HYDRO,54.9,0,1,48299,0.0725812760177541,283.676561823315
3595,WAT,3,OP,HY,18.3,13369.333,1950,HYDRO,Buchanan Dam (TX),11269,30.7507,-98.4176,TX,48,299,TRE,ERCT,HYDRO,54.9,0,1,48299,0.0725812760177541,283.676561823315
3598,WAT,1,OP,HY,15,18118,1938,HYDRO,Inks,11269,30.731599,-98.385422,TX,48,053,TRE,ERCT,HYDRO,15,0,1,48053,0.0952030791111244,284.984388519262
4937,NG,CT-1,OP,CT,185.3,969388,2014,GAS,T C Ferguson Power Plant,11269,30.558,-98.3705,TX,48,299,TRE,ERCT,GAS,1020.6,1,1,48299,1.40951564970373,275.058903669993
4937,NG,CT-2,OP,CT,185.3,967342,2014,GAS,T C Ferguson Power Plant,11269,30.558,-98.3705,TX,48,299,TRE,ERCT,GAS,1020.6,1,1,48299,1.40951564970373,275.058903669993
4937,NG,STG,OP,CA,204,1149410,2014,GAS,T C Ferguson Power Plant,11269,30.558,-98.3705,TX,48,299,TRE,ERCT,GAS,1020.6,1,1,48299,1.40951564970373,275.058903669993
4937,NG,1,RE,ST,446,,1974,GAS,T C Ferguson Power Plant,11269,30.558,-98.3705,TX,48,299,TRE,ERCT,GAS,1020.6,1,0,48299,1.40951564970373,275.058903669993
