oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
56240,WND,1,OP,WT,120.6,353033,2006,WIND,Buffalo Gap Wind Farm,3278,32.311556,-100.061589,TX,48,441,TRE,ERCT,WIND,120.6,1,1,48441,8.26010252041531,226.04937893799
56270,WND,1,OP,WT,114,422634,2005,WIND,Callahan Divide Wind Energy Center,3278,32.303889,-100.021667,TX,48,441,TRE,ERCT,WIND,114,1,1,48441,12.0245781540997,225.53838805721
56291,WND,1,OP,WT,213,706671.157,2005,WIND,Horse Hollow Wind Energy Center,3278,32.214024,-100.05712,TX,48,441,TRE,ERCT,WIND,735.5,1,1,48441,8.76975816336707,236.042822718737
56291,WND,2,OP,WT,223.5,741507.059,2006,WIND,Horse Hollow Wind Energy Center,3278,32.214024,-100.05712,TX,48,441,TRE,ERCT,WIND,735.5,1,1,48441,8.76975816336707,236.042822718737
56291,WND,3,OP,WT,299,991993.784,2006,WIND,Horse Hollow Wind Energy Center,3278,32.214024,-100.05712,TX,48,441,TRE,ERCT,WIND,735.5,1,1,48441,8.76975816336707,236.042822718737
56483,WND,1,OP,WT,200,523856,2008,WIND,Post Oak Wind LLC,44372,32.5144,-99.6564,TX,48,417,TRE,ERCT,WIND,200,1,1,48417,0.691810729327763,193.348799935379
56638,WND,GEN1,OP,WT,170.2,485413,2008,WIND,Buffalo Gap 3 Wind Farm,3278,32.2878,-100.1,TX,48,353,TRE,ERCT,WIND,170.2,1,1,48353,4.66111449844529,229.809347448891
56649,WND,1,OP,WT,101.2,314914,2009,WIND,South Trent Wind Farm,44372,32.4081,-100.1286,TX,48,353,TRE,ERCT,WIND,101.2,1,1,48353,1.87868916775794,218.49925574378
