oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
60,RC,1,OP,ST,76.3,319930,1981,COAL,Gerald Whelan Energy Center,13337,40.580872,-98.312437,NE,31,001,MRO,MROW,COAL,324.3,1,1,31001,2.8900285147815,64.2035962785258
60,SUB,2,OP,ST,248,1057496,2011,COAL,Gerald Whelan Energy Center,13337,40.580872,-98.312437,NE,31,001,MRO,MROW,COAL,324.3,1,1,31001,2.8900285147815,64.2035962785258
2243,NG,1,SB,GT,22,75,1972,GAS,Don Henry,8245,40.583155,-98.420055,NE,31,001,MRO,MROW,GAS,22,0,1,31001,11.996372428952,64.4547691237271
2244,NG,4,SB,ST,17,-70,1957,GAS,North Denver,8245,40.598839,-98.38863,NE,31,001,MRO,MROW,GAS,39,0,1,31001,9.33671156299033,66.2033993510605
2244,NG,5,SB,ST,22,-503,1967,GAS,North Denver,8245,40.598839,-98.38863,NE,31,001,MRO,MROW,GAS,39,0,1,31001,9.33671156299033,66.2033993510605
60931,WND,WT1,OP,WT,1.7,7284,2016,WIND,CCC Hastings Wind Turbine,8245,40.57,-98.334,NE,31,001,MRO,MROW,WIND,1.7,0,1,31001,4.71495942033164,63.0005085517725
