oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
2721,BIT,5,OP,ST,621,1243104,1972,COAL,Cliffside,5416,35.22,-81.7594,NC,37,045,SERC,SRVC,COAL,2540.5,1,1,37045,0.059295606345594,4.4040528546141
2721,BIT,6,OP,ST,909.5,4311369,2012,COAL,Cliffside,5416,35.22,-81.7594,NC,37,045,SERC,SRVC,COAL,2540.5,1,1,37045,0.059295606345594,4.4040528546141
2721,BIT,1,RE,ST,40,,1940,COAL,Cliffside,5416,35.22,-81.7594,NC,37,045,SERC,SRVC,COAL,2540.5,1,0,37045,0.059295606345594,4.4040528546141
2721,BIT,2,RE,ST,40,,1940,COAL,Cliffside,5416,35.22,-81.7594,NC,37,045,SERC,SRVC,COAL,2540.5,1,0,37045,0.059295606345594,4.4040528546141
2721,BIT,3,RE,ST,65,,1948,COAL,Cliffside,5416,35.22,-81.7594,NC,37,045,SERC,SRVC,COAL,2540.5,1,0,37045,0.059295606345594,4.4040528546141
2721,BIT,4,RE,ST,65,,1948,COAL,Cliffside,5416,35.22,-81.7594,NC,37,045,SERC,SRVC,COAL,2540.5,1,0,37045,0.059295606345594,4.4040528546141
2721,BIT,7,IP,ST,800,0,,COAL,Cliffside,5416,35.22,-81.7594,NC,37,045,SERC,SRVC,COAL,2540.5,1,0,37045,0.059295606345594,4.4040528546141
54363,DFO,GEN2,SB,IC,0.9,0,1972,OIL,"Shelby, NC",5416,35.3264,-81.6292,NC,37,045,SERC,SRVC,OIL,4.2,0,1,37045,7.44127242995814,16.7472549622874
54363,DFO,GEN3,SB,IC,0.9,0,1972,OIL,"Shelby, NC",5416,35.3264,-81.6292,NC,37,045,SERC,SRVC,OIL,4.2,0,1,37045,7.44127242995814,16.7472549622874
54363,DFO,GEN4,SB,IC,1.2,0,1972,OIL,"Shelby, NC",5416,35.3264,-81.6292,NC,37,045,SERC,SRVC,OIL,4.2,0,1,37045,7.44127242995814,16.7472549622874
54363,DFO,GEN5,SB,IC,1.2,0,1972,OIL,"Shelby, NC",5416,35.3264,-81.6292,NC,37,045,SERC,SRVC,OIL,4.2,0,1,37045,7.44127242995814,16.7472549622874
56063,DFO,1,OP,IC,1.8,-46,2002,OIL,"Shelby, Toms Street",17037,35.3036,-81.5225,NC,37,045,SERC,SRVC,OIL,1.8,0,1,37045,12.3483372601787,14.6921969699964
57029,NG,1,OP,GT,184,96460.375,2012,GAS,Cleveland County Generating Facility,5416,35.170547,-81.416648,NC,37,045,SERC,SRVC,GAS,1472,1,1,37045,0.418897764600041,0.418897764600041
57029,NG,2,OP,GT,184,96460.375,2012,GAS,Cleveland County Generating Facility,5416,35.170547,-81.416648,NC,37,045,SERC,SRVC,GAS,1472,1,1,37045,0.418897764600041,0.418897764600041
57029,NG,3,OP,GT,184,96460.375,2012,GAS,Cleveland County Generating Facility,5416,35.170547,-81.416648,NC,37,045,SERC,SRVC,GAS,1472,1,1,37045,0.418897764600041,0.418897764600041
57029,NG,4,OP,GT,184,96460.375,2012,GAS,Cleveland County Generating Facility,5416,35.170547,-81.416648,NC,37,045,SERC,SRVC,GAS,1472,1,1,37045,0.418897764600041,0.418897764600041
57029,NG,5,IP,GT,184,96460.375,,GAS,Cleveland County Generating Facility,5416,35.170547,-81.416648,NC,37,045,SERC,SRVC,GAS,1472,1,0,37045,0.418897764600041,0.418897764600041
57029,NG,6,IP,GT,184,96460.375,,GAS,Cleveland County Generating Facility,5416,35.170547,-81.416648,NC,37,045,SERC,SRVC,GAS,1472,1,0,37045,0.418897764600041,0.418897764600041
57029,NG,7,IP,GT,184,96460.375,,GAS,Cleveland County Generating Facility,5416,35.170547,-81.416648,NC,37,045,SERC,SRVC,GAS,1472,1,0,37045,0.418897764600041,0.418897764600041
57029,NG,8,IP,GT,184,96460.375,,GAS,Cleveland County Generating Facility,5416,35.170547,-81.416648,NC,37,045,SERC,SRVC,GAS,1472,1,0,37045,0.418897764600041,0.418897764600041
57200,SUN,1,OP,PV,1,1691,2010,SOLAR,Shelby Solar Energy Generation Facility,17037,35.2536,-81.5956,NC,37,045,SERC,SRVC,SOLAR,1,0,1,37045,8.84822386627607,8.84822386627607
58314,SUN,1,OP,PV,4,7184,2012,SOLAR,Belwood Farm,3046,35.47,-81.508333,NC,37,045,SERC,SRVC,SOLAR,4,0,1,37045,2.22214843005755,33.1881751177797
58453,SUN,1,OP,PV,4,6784,2011,SOLAR,Dixon Dairy Road Solar,5416,35.199167,-81.410833,NC,37,045,SERC,SRVC,SOLAR,4,0,1,37045,3.61451915311184,3.61451915311184
58732,SUN,PV1,OP,PV,3,4890,2016,SOLAR,Audrey Solar,5416,35.328056,-81.621944,NC,37,045,SERC,SRVC,SOLAR,3,0,1,37045,8.00602133599215,16.9641566951613
58745,SUN,PV1,OP,PV,4.5,7620,2016,SOLAR,Sophie Solar,5416,35.305,-81.696944,NC,37,045,SERC,SRVC,SOLAR,4.5,0,1,37045,2.37938687907407,14.0581226182783
58792,SUN,PV1,OP,PV,19.4,35331,2017,SOLAR,Ayrshire,5416,35.283056,-81.615278,NC,37,045,SERC,SRVC,SOLAR,19.4,0,1,37045,10.1932466118451,12.0135860563749
58863,SUN,1,OP,PV,5,8703,2013,SOLAR,Waco Farm,5416,35.352222,-81.426111,NC,37,045,SERC,SRVC,SOLAR,5,0,1,37045,2.08174643881899,20.4946184647119
59038,SUN,GEN1,OP,PV,3.5,5615,2013,SOLAR,Battleground,5416,35.22,-81.33,NC,37,045,SERC,SRVC,SOLAR,3.5,0,1,37045,0.50706876397959,6.25639406128531
59325,NG,KMEC1,OP,CT,310.2,810073,2018,GAS,Kings Mountain Energy Center,5416,35.2025,-81.363056,NC,37,045,SERC,SRVC,GAS,543.9,1,1,37045,3.50349294878223,4.18118516809846
59325,NG,KMEC2,OP,CA,233.7,476252,2018,GAS,Kings Mountain Energy Center,5416,35.2025,-81.363056,NC,37,045,SERC,SRVC,GAS,543.9,1,1,37045,3.50349294878223,4.18118516809846
59511,SUN,PV1,OP,PV,4,6778,2016,SOLAR,Beetle Solar,5416,35.1785,-81.665,NC,37,045,SERC,SRVC,SOLAR,4,0,1,37045,0.203742314674546,0.203742314674546
59564,SUN,PV1,OP,PV,5,6806,2014,SOLAR,Hutchinson Farm,5416,35.260833,-81.515833,NC,37,045,SERC,SRVC,SOLAR,5,0,1,37045,9.9858100074236,9.9858100074236
59670,SUN,IS023,OP,PV,1.9,3741,2015,SOLAR,Innovative Solar 23,5416,35.259825,-81.419019,NC,37,045,SERC,SRVC,SOLAR,1.9,0,1,37045,6.20311321125812,10.2981591130367
60072,SUN,NSS1,OP,PV,2,3707,2015,SOLAR,Neisler Street Solar,5416,35.289757,-81.568878,NC,37,045,SERC,SRVC,SOLAR,2,0,1,37045,12.965237710997,12.965237710997
60101,SUN,SRR,OP,PV,2,3479,2015,SOLAR,"Shelby Randolph Road Solar 1, LLC",5416,35.309229,-81.588436,NC,37,045,SERC,SRVC,SOLAR,2,0,1,37045,11.563859839451,15.0439309209713
60105,SUN,LAF,OP,PV,2,3340,2015,SOLAR,"Lafayette Solar I, LLC",5416,35.232396,-81.564248,NC,37,045,SERC,SRVC,SOLAR,2,0,1,37045,6.6358942566983,6.6358942566983
60107,SUN,YORK,OP,PV,2,3550,2015,SOLAR,"York Road Solar I, LLC",5416,35.222208,-81.333702,NC,37,045,SERC,SRVC,SOLAR,2,0,1,37045,0.857753340654269,6.48644316219244
60108,SUN,SID,OP,PV,5,8446,2015,SOLAR,"SID Solar I, LLC",5416,35.258647,-81.505606,NC,37,045,SERC,SRVC,SOLAR,5,0,1,37045,9.79320392727353,9.79320392727353
60199,SUN,CHSC1,OP,PV,2,3629,2016,SOLAR,"County Home Solar Center, LLC",5416,35.263255,-81.508684,NC,37,045,SERC,SRVC,SOLAR,2,0,1,37045,10.2881590126433,10.2881590126433
60761,SUN,1,OP,PV,5,9480,2015,SOLAR,"Roper Farm, LLC",5416,35.187475,-81.440717,NC,37,045,SERC,SRVC,SOLAR,5,0,1,37045,2.17542076156865,2.17542076156865
61195,SUN,DIXON,OP,PV,2,3972,2017,SOLAR,"231 Dixon 74 Solar I, LLC",3046,35.244125,-81.430385,NC,37,045,SERC,SRVC,SOLAR,2,0,1,37045,7.88565943353977,8.50907468229213
61284,SUN,GEN1,OP,PV,2,3939,2016,SOLAR,"Lux Solar, LLC",5416,35.241145,-81.429433,NC,37,045,SERC,SRVC,SOLAR,2,0,1,37045,7.97842851971478,8.18334036307847
