state_fips,share_water_state_border,share_water_county_border,length_state_border,length_county_border
54,0.517254137786439,0.221479088625001,2032.63840213364,9889.23386736898
12,0.842649631150658,0.537129279088653,3277.78775764939,17484.6973770157
17,0.760348583877996,0.208841177839719,2192.90399767195,17612.6157172985
27,0.700938239117836,0.25234644836797,3097.49679468731,19671.1768262698
24,0.569352344957911,0.713856479091378,1424.02327521744,4841.91973699754
44,0.585427845241457,0.599425329698667,356.720231916064,678.522716866824
16,0.146604938271605,0.229905721182403,2963.53562792778,15824.3169899279
33,0.608011078059288,0.328589958797497,979.894650883136,2621.02318219254
37,0.28841816654137,0.415809214726538,2172.81451746364,18793.412445299
50,0.673926063047858,0.264123494706215,920.843289748012,3092.99036632114
09,0.38403146149625,0.341291094524529,529.306527404572,1754.92404127916
10,0.448782278790846,0.548974399745588,419.539479667617,628.798447273782
35,0.00356346510513264,0.0315961668568428,2392.26668919329,14853.7540314118
06,0.632367260094484,0.315219664751053,4206.63153977653,25099.3809148348
34,0.900210273355362,0.687202667447928,835.980319069961,3583.50958327326
55,0.805744695684507,0.266611998052431,2147.17586872836,15607.4262549982
41,0.577415456463407,0.221735322846846,2357.39384614648,14843.6818123037
31,0.259696274445537,0.0990551661078939,2190.15869099681,17387.1860573389
42,0.34712420606916,0.271282799903168,1642.64218232646,13630.4498605693
53,0.546815098790917,0.381836010599278,1980.92924916475,13358.4477881854
22,0.746681415929204,0.604288834038064,2636.35326035849,16872.6528423606
13,0.668042246625166,0.408147723630147,2131.59428191903,25733.3531659534
01,0.335790010771586,0.363498583118413,1787.46471532682,15701.735803795
49,0.0253835059656484,0.145428493230081,1972.41112996278,12421.9205602059
39,0.694193508192636,0.145171653324535,1619.52796344574,14394.5465269808
48,0.69378117326991,0.294447481262831,5835.30760844753,61735.9843856102
08,0.00369232235165202,0.0220484340953672,2103.46681853762,19319.4003584343
45,0.665507671696067,0.59413915152383,1539.83332109868,11173.0225581532
40,0.323254034755365,0.209196298430562,2692.92445852985,17698.8832568118
47,0.178264652729747,0.239779275376645,2125.61811190732,17195.5115967251
56,0.00627397987500302,0.023128895743255,2031.38596077146,10892.6515710951
38,0.30403431909456,0.186522554016639,2114.37309647042,14644.4177804489
21,0.648320355951057,0.413053989955714,2182.97024336157,19540.3739185714
23,0.648485857828851,0.370553222567099,1798.1576515813,6845.85262831025
36,0.62770448010767,0.381241904650079,2365.49574674714,13624.9731030828
32,0.119568684999681,0.0545878016943513,2368.58193709481,9767.31322709421
26,0.840214052872567,0.366022203077178,2679.45992537356,19323.9632981279
05,0.425135324892986,0.355425894378194,2178.31891867182,17608.0551767637
28,0.565258079274633,0.266733763209632,2401.93927669643,15994.5551110493
29,0.52670592595643,0.216153275412269,2392.08268960463,20887.7362338011
30,0.00175831442268676,0.15215517413392,3160.6358170672,25056.8793018761
20,0.101323476809348,0.0416439693714991,2011.44050263691,19456.3204432706
18,0.59032670412319,0.207703276789163,1704.30102779199,13462.0754437373
46,0.246624868427074,0.198464373082023,2121.4527627267,16063.2673290645
25,0.50053026955369,0.453266742850693,1098.48553078772,3543.57776812665
51,0.287969549482092,0.445708661920526,2338.76105329331,19556.6915707648
11,0.444858420268256,0.444858420268256,67.0885437720755,67.089969804733
19,0.530805197489086,0.0852551788097018,1875.64015806561,15848.1319052815
04,0.269118576994472,0.204092622509424,2398.11546010229,10862.9902737756
